代號,名稱,股數
3567,逸昌,3.547
3570,大塚,1.71
3573,穎台,12.68
3576,新日光,101.9
3577,泓格,4.806
3579,尚志,11.56
3580,友威科,3.547
3581,博磊,5.178
3583,辛耘,8.114
3584,介面,13.98
3587,閎康,6.231
3588,通嘉,4.734
3591,艾笛森,13.24
3593,力銘,11.27
3594,磐儀,6.278
3596,智易,18.91
3598,奕力,7.198
3605,宏致,12.24
3607,谷崧,12.17
3609,東林,3.034
3611,鼎翰,3.856
3615,安可,6.847
3617,碩天,8.095
3622,洋華,15.13
3623,富晶通,2.918
3624,光頡,11.73
3625,西勝,7.171
3628,盈正,4.5
3629,卓韋,2.025
3630,新鉅科,15.84
3631,晟楠,7.992
3632,研勤,4.719
3642,駿熠電,3.037
3645,達邁,12.33
3646,艾恩特,3.906
3652,精聯,4.71
3653,健策,10.63
3658,漢微科,7.1
3661,F-世芯,6.1
3662,樂陞,18.4
3663,鑫科,7.35
3664,F-安瑞,5.252
3665,F-貿聯,11.86
3666,光耀,4.83
3669,圓展,9.748
3672,康聯訊,3.317
3673,F-TPK,40.67
3675,德微,4.443
3679,新至陞,7.93
3680,家登,7.056
3682,亞太電,429.8
3684,榮昌,2.46
3685,政翔,7.999
3686,達能,34.96
3687,歐買尬,3.006
3689,湧德,6.968
3691,碩禾,6.099
3693,營邦,3.851
3694,海華,13.35
3698,隆達,51.23
3701,大眾控,38.07
3702,大聯大,182.5
3703,欣陸,82.32
3704,合勤控,44.12
3705,永信,26.64
3706,神達,81.86
3707,漢磊,22.91
3708,上緯投控,9.085
3709,鑫聯大投控,7.957
3710,連展投控,20.73
4102,永日,4.237
4103,百略,11
4104,佳醫,12.78
4105,東洋,24.86
4106,雃博,8.339
4107,邦特,6.93
4108,懷特,16.36
4109,穆拉德,8.188
4111,濟生,5.698
4113,聯上,20.58
4114,健喬,18.4
4116,明基醫,4.457
4119,旭富,7.949
4120,友華,8.675
4121,優盛,7.332
4123,晟德,32.06
4126,太醫,6.602
4127,天良,4.576
4128,中天,42.53
4129,聯合,7.971
4130,健亞,10.08
4131,晶宇,3.829
4133,亞諾法,6.055
4137,F-麗豐,7.949
4138,曜亞,3
4139,F-馬光,3.815
4141,F-龍燈,15.19
4142,國光生,23.77
4144,F-康聯,7.814
4147,中裕,25.03
4148,全宇生技-KY,6.403
4152,台微體,5.62
4153,鈺緯,7.437
4154,F-康樂,1.953
